aberrant,0,0,0,0,1
abortion,0,0,0,0,1
amateur,0,0,0,0,1
animal,0,0,0,0,1
anorak,0,0,0,0,1
ape,0,0,0,0,1
ape covered in human flesh,0,0,0,0,1
apefucker,0,0,0,0,1
arse,0,0,0,0,1
arsebreath,0,0,0,0,1
arsecunt,0,0,0,0,1
arseface,0,0,0,0,1
arsehole,0,0,0,0,1
arse-licker,0,0,0,0,1
ass,0,0,0,0,1
assaholic,0,0,0,0,1
assbag,0,0,0,0,1
assbutt,0,0,0,0,1
ass clown,0,0,0,0,1
asscunt,0,0,0,0,1
assface,0,0,0,0,1
assfag,0,0,0,0,1
assfucker,0,0,0,0,1
asshat,0,0,0,0,1
asshole,0,0,0,0,1
ass-kisser,0,0,0,0,1
ass-licker,0,0,0,0,1
assmonkey,0,0,0,0,1
assmouth,0,0,0,0,1
assmunch,0,0,0,0,1
ass-nugget,0,0,0,0,1
ass sucker,0,0,0,0,1
asstard,0,0,0,0,1
asswagon,0,0,0,0,1
assweed,0,0,0,0,1
asswipe,0,0,0,0,1
aunt fucker,0,0,0,0,1
baby,0,0,0,0,1
backwoodsman,0,0,0,0,1
badass,0,0,0,0,1
badgerfucker,0,0,0,0,1
bag of dicks,0,0,0,0,1
Bag whore,0,0,0,0,1
ballkicker,0,0,0,0,1
ballsack,0,0,0,0,1
bandit,0,0,0,0,1
bangsat,0,0,0,0,1
barbarian,0,0,0,0,1
Barbie-fucker,0,0,0,0,1
bastard,0,0,0,0,1
Bawtboy,0,0,0,0,1
bean head,0,0,0,0,1
beast,0,0,0,0,1
beetlehead,0,0,0,0,1
beginner,0,0,0,0,1
beldame,0,0,0,0,1
bell-end,0,0,0,0,1
berk,0,0,0,0,1
bespawler,0,0,0,0,1
beta,0,0,0,0,1
Beta cuck,0,0,0,0,1
bimbo,0,0,0,0,1
birdbrain,0,0,0,0,1
birdfucker,0,0,0,0,1
bitch,0,0,0,0,1
bitchass,0,0,0,0,1
bitch ass motherfucker,0,0,0,0,1
bitch boy,0,0,0,0,1
bitchcunt,0,0,0,0,1
bitchdicksucker,0,0,0,0,1
bitchface,0,0,0,0,1
bitchfucker,0,0,0,0,1
bitchtits,0,0,0,0,1
bitchwad,0,0,0,0,1
bitchwhore,0,0,0,0,1
bitchzilla,0,0,0,0,1
biznatch,0,0,0,0,1
blackguard,0,0,0,0,1
blaggard,0,0,0,0,1
blockhead,0,0,0,0,1
blubber gut,0,0,0,0,1
bluntie,0,0,0,0,1
bogeyman,0,0,0,0,1
bonehead,0,0,0,0,1
boob,0,0,0,0,1
booby,0,0,0,0,1
boomer,0,0,0,0,1
bootlicker,0,0,0,0,1
boozer,0,0,0,0,1
Bot,0,0,0,0,1
boyfucker,0,0,0,0,1
bozo,0,0,0,0,1
brainlet,0,0,0,0,1
Brandon,0,0,0,0,1
brickfucker,0,0,0,0,1
brickhead,0,0,0,0,1
brotherfucker,0,0,0,0,1
buffoon,0,0,0,0,1
